SIRUTA;NIV;SIRSUP;TIP;DENLOC;ULT;MED;JUD;PREFIX;REGIUNE;CODP;FSJ;FS2;FS3;FSL;FICTIV
1614;3;1455;18;PESTE VALEA BISTRII;1;1;1;0;7;515515;1;31911;2008735;63;0
1623;3;1455;18;PODURI;1;1;1;0;7;515516;1;31911;2009141;64;0
1632;3;1455;18;SORLITA;1;1;1;0;7;515517;1;31911;2011333;65;0
1641;3;1455;18;TOMUSESTI;1;1;1;0;7;515518;1;31911;2012220;66;0
1650;3;1455;18;VALEA BISTRII;1;1;1;0;7;515519;1;31911;2012749;67;0
1669;3;1455;18;VALEA CASELOR;1;1;1;0;7;515520;1;31911;2012775;68;0
1678;3;1455;18;VARSI;1;1;1;0;7;515521;1;31911;2013240;69;0
1696;2;10;2;ORAS CUGIR;0;1;1;0;7;0;1;31927;;70;0
1703;3;1696;17;CUGIR;1;1;1;0;7;515600;1;31927;1003684;71;0
1712;3;1696;18;BOCSITURA;1;1;1;0;7;515601;1;31927;2001211;72;0
1721;3;1696;18;BUCURU;1;1;1;0;7;515602;1;31927;2001766;73;0
1730;3;1696;18;CALENE;1;1;1;0;7;515603;1;31927;2002059;74;0
1749;3;1696;18;FETENI;1;1;1;0;7;515604;1;31927;2004706;75;0
1758;3;1696;18;GOASELE;1;1;1;0;7;515605;1;31927;2005367;76;0
1767;3;1696;18;MUGESTI;1;1;1;0;7;515606;1;31927;2007792;77;0
1776;3;1696;18;VINEREA;1;1;1;0;7;515607;1;31927;2013405;78;0
1794;2;10;2;ORAS OCNA MURES;0;1;1;0;7;0;1;31989;;79;0
1801;3;1794;17;OCNA MURES;1;1;1;0;7;515700;1;31989;1008170;80;0
1838;3;1794;19;CISTEIU DE MURES;1;1;1;0;7;515701;1;31989;3002873;83;0
1847;3;1794;19;MICOSLACA;1;1;1;0;7;515702;1;31989;3007430;84;0
1856;3;1794;19;RAZBOIENI-CETATE;1;1;1;0;7;515703;1;31989;3009890;85;0
1810;3;1794;18;UIOARA DE JOS;1;1;1;0;7;515704;1;31989;2012459;81;0
1829;3;1794;18;UIOARA DE SUS;1;1;1;0;7;515705;1;31989;2012460;82;0
8096;2;10;2;ORAS TEIUS;0;1;1;0;7;0;1;32056;;86;0
8103;3;8096;17;TEIUS;1;1;1;0;7;515900;1;32056;1011997;87;0
8112;3;8096;19;BELDIU;1;1;1;0;7;515901;1;32056;3000938;88;0
8121;3;8096;19;CAPUD;1;1;1;0;7;515902;1;32056;3002232;89;0
8130;3;8096;19;COSLARIU NOU;1;1;1;0;7;515903;1;32056;3003343;90;0
8149;3;8096;19;PETELCA;1;1;1;0;7;515904;1;32056;3008762;91;0
1936;2;10;2;ORAS ZLATNA;0;1;1;0;7;0;1;32078;;92;0
1945;3;1936;17;ZLATNA;1;1;1;0;7;516100;1;32078;1013726;93;0
1954;3;1936;19;BOTESTI;1;1;1;0;7;516101;1;32078;3001445;94;0
1963;3;1936;19;BUDENI;1;1;1;0;7;516102;1;32078;3001793;95;0
1972;3;1936;19;DEALU ROATEI;1;1;1;0;7;516103;1;32078;3003960;96;0
1981;3;1936;19;DOBROT;1;1;1;0;7;516104;1;32078;3004146;97;0
1990;3;1936;19;DUMBRAVA;1;1;1;0;7;516105;1;32078;3004398;98;0
2005;3;1936;19;FENES;1;1;1;0;7;516106;1;32078;3004691;99;0
2014;3;1936;19;GALATI;1;1;1;0;7;516107;1;32078;3004987;100;0
2023;3;1936;19;IZVORU AMPOIULUI;1;1;1;0;7;516108;1;32078;3006319;101;0
2032;3;1936;19;PATRANGENI;1;1;1;0;7;516109;1;32078;3008639;103;0
2041;3;1936;19;PIRITA;1;1;1;0;7;516111;1;32078;3008912;104;0
2050;3;1936;19;PARAU GRUIULUI;1;1;1;0;7;516110;1;32078;3008572;102;0
2069;3;1936;19;PODU LUI PAUL;1;1;1;0;7;516112;1;32078;3009124;105;0
2078;3;1936;19;RUNC;1;1;1;0;7;516113;1;32078;3010175;106;0
2087;3;1936;19;RUSI;1;1;1;0;7;516114;1;32078;3010222;107;0
2096;3;1936;19;SUSENI;1;1;1;0;7;516115;1;32078;3011735;108;0
2103;3;1936;19;TRAMPOIELE;1;1;1;0;7;516116;1;32078;3012289;109;0
2112;3;1936;19;VALEA MICA;1;1;1;0;7;516117;1;32078;3012940;110;0
2121;3;1936;19;VALTORI;1;1;1;0;7;516118;1;32078;3013158;111;0
2130;2;10;3;ALBAC;0;3;1;0;7;0;1;40024;;112;0
2149;3;2130;22;ALBAC;1;3;1;0;7;517005;1;40024;1000085;113;0
2158;3;2130;23;BARASTI;1;3;1;0;7;517006;1;40024;3000717;114;0
2167;3;2130;23;BUDAIESTI;1;3;1;0;7;517007;1;40024;3001788;115;0
2176;3;2130;23;CIONESTI;1;3;1;0;7;517008;1;40024;3002814;116;0
2185;3;2130;23;COSTESTI;1;3;1;0;7;517009;1;40024;3003375;117;0
2194;3;2130;23;DEALU LAMASOI;1;3;1;0;7;517011;1;40024;3003936;118;0
2201;3;2130;23;DEVE;1;3;1;0;7;517012;1;40024;3004044;119;0
2210;3;2130;23;DUPA PLESE;1;3;1;0;7;517013;1;40024;3004482;120;0
2229;3;2130;23;FATA;1;3;1;0;7;517014;1;40024;3004646;121;0
2238;3;2130;23;PLESESTI;1;3;1;0;7;517016;1;40024;3008999;122;0
2247;3;2130;23;POTIONCI;1;3;1;0;7;517017;1;40024;3009443;123;0
2256;3;2130;23;ROGOZ;1;3;1;0;7;517018;1;40024;3010023;124;0
2265;3;2130;23;ROSESTI;1;3;1;0;7;517019;1;40024;3010070;125;0
2274;3;2130;23;RUSESTI;1;3;1;0;7;517021;1;40024;3010219;126;0
2283;3;2130;23;SOHODOL;1;3;1;0;7;517022;1;40024;3011267;127;0
2292;3;2130;23;TAMBORESTI;1;3;1;0;7;517023;1;40024;3011812;128;0
2309;2;10;3;ALMASU MARE;0;3;1;0;7;0;1;40046;;129;0
2318;3;2309;22;ALMASU MARE;1;3;1;0;7;517030;1;40046;1000158;130;0
2327;3;2309;23;ALMASU DE MIJLOC;1;3;1;0;7;517031;1;40046;3000157;131;0
2336;3;2309;23;BRADET;1;3;1;0;7;517032;1;40046;3001514;132;0
2345;3;2309;23;CHEILE CIBULUI;1;3;1;0;7;517033;1;40046;3002576;133;0
2354;3;2309;23;CIB;1;3;1;0;7;517034;1;40046;3002723;134;0
2363;3;2309;23;GLOD;1;3;1;0;7;517036;1;40046;3005342;135;0
2372;3;2309;23;NADASTIA;1;3;1;0;7;517038;1;40046;3007865;136;0
2381;2;10;3;ARIESENI;0;3;1;0;7;0;1;40082;;137;0
2390;3;2381;22;ARIESENI;1;3;1;0;7;517040;1;40082;1000302;138;0
2407;3;2381;23;AVRAMESTI;1;3;1;0;7;517041;1;40082;3000382;139;0
2416;3;2381;23;BUBESTI;1;3;1;0;7;517042;1;40082;3001705;140;0
2425;3;2381;23;CASA DE PIATRA;1;3;1;0;7;517043;1;40082;3002343;141;0
2434;3;2381;23;COBLES;1;3;1;0;7;517044;1;40082;3003002;142;0
2443;3;2381;23;DEALU BAJULUI;1;3;1;0;7;517046;1;40082;3003912;143;0
2452;3;2381;23;FATA CRISTESEI;1;3;1;0;7;517047;1;40082;3004650;144;0
2461;3;2381;23;FATA LAPUSULUI;1;3;1;0;7;517048;1;40082;3004651;145;0
2470;3;2381;23;GALBENA;1;3;1;0;7;517049;1;40082;3004992;146;0
2489;3;2381;23;HODOBANA;1;3;1;0;7;517051;1;40082;3005856;147;0
2498;3;2381;23;IZLAZ;1;3;1;0;7;517052;1;40082;3006273;148;0
2504;3;2381;23;PANTESTI;1;3;1;0;7;517053;1;40082;3008555;149;0
2513;3;2381;23;PATRAHAITESTI;1;3;1;0;7;517054;1;40082;3008638;150;0
2522;3;2381;23;POIENITA;1;3;1;0;7;517056;1;40082;3009309;151;0
2531;3;2381;23;RAVICESTI;1;3;1;0;7;517057;1;40082;3009886;152;0
2540;3;2381;23;STURU;1;3;1;0;7;517058;1;40082;3011633;154;0
2559;3;2381;23;STEI-ARIESENI;1;3;1;0;7;517059;1;40082;3011479;153;0
2568;3;2381;23;VANVUCESTI;1;3;1;0;7;517061;1;40082;3013192;155;0
2577;2;10;3;AVRAM IANCU;0;3;1;0;7;0;1;40098;;156;0
2586;3;2577;22;AVRAM IANCU;1;3;1;0;7;517065;1;40098;1000373;157;0
2595;3;2577;23;ACHIMETESTI;1;3;1;0;7;517066;1;40098;3000017;158;0
2602;3;2577;23;AVRAMESTI;1;3;1;0;7;517067;1;40098;3000379;159;0
2611;3;2577;23;BADAI;1;3;1;0;7;517068;1;40098;3000438;160;0
2620;3;2577;23;BOLDESTI;1;3;1;0;7;517069;1;40098;3001327;161;0
2639;3;2577;23;CALUGARESTI;1;3;1;0;7;517071;1;40098;3002123;162;0
2648;3;2577;23;CASOAIA;1;3;1;0;7;517072;1;40098;3002359;166;0
2657;3;2577;23;CANDESTI;1;3;1;0;7;517073;1;40098;3002179;163;0
2666;3;2577;23;CARASTI;1;3;1;0;7;517074;1;40098;3002259;164;0
2675;3;2577;23;CARTULESTI;1;3;1;0;7;517076;1;40098;3002340;165;0
2684;3;2577;23;COCESTI;1;3;1;0;7;517077;1;40098;3003011;167;0
2693;3;2577;23;COCOSESTI;1;3;1;0;7;517078;1;40098;3003033;168;0
2700;3;2577;23;COROIESTI;1;3;1;0;7;517079;1;40098;3003299;169;0
2719;3;2577;23;DEALU CRISULUI;1;3;1;0;7;517081;1;40098;3003922;170;0
2728;3;2577;23;DOLESTI;1;3;1;0;7;517082;1;40098;3004176;171;0
2737;3;2577;23;DUMACESTI;1;3;1;0;7;517083;1;40098;3004387;172;0
2746;3;2577;23;GOJEIESTI;1;3;1;0;7;517084;1;40098;3005395;173;0
2755;3;2577;23;HELERESTI;1;3;1;0;7;517086;1;40098;3005787;174;0
2764;3;2577;23;INCESTI;1;3;1;0;7;517087;1;40098;3006153;175;0
2773;3;2577;23;JOJEI;1;3;1;0;7;517088;1;40098;3006400;176;0
2782;3;2577;23;MARTESTI;1;3;1;0;7;517089;1;40098;3007263;177;0
2791;3;2577;23;ORGESTI;1;3;1;0;7;517091;1;40098;3008338;178;0
2808;3;2577;23;PATRUTESTI;1;3;1;0;7;517092;1;40098;3008647;179;0
2817;3;2577;23;PLAI;1;3;1;0;7;517093;1;40098;3008955;180;0
2826;3;2577;23;PUSELESTI;1;3;1;0;7;517094;1;40098;3009633;181;0
2835;3;2577;23;SOICESTI;1;3;1;0;7;517096;1;40098;3011273;182;0
2844;3;2577;23;STERTESTI;1;3;1;0;7;517097;1;40098;3011512;183;0
2853;3;2577;23;TARSA;1;3;1;0;7;517098;1;40098;3011901;184;0
2862;3;2577;23;TARSA-PLAI;1;3;1;0;7;517099;1;40098;3011904;185;0
2871;3;2577;23;VALEA MACIULUI;1;3;1;0;7;517101;1;40098;3012893;186;0
2880;3;2577;23;VALEA UTULUI;1;3;1;0;7;517102;1;40098;3013088;187;0
2899;3;2577;23;VERDESTI;1;3;1;0;7;517103;1;40098;3013311;188;0
2906;3;2577;23;VIDRISOARA;1;3;1;0;7;517104;1;40098;3013363;189;0
2988;2;10;3;BERGHIN;0;3;1;0;7;0;1;40236;;190;0
2997;3;2988;22;BERGHIN;1;3;1;0;7;517110;1;40236;1001007;191;0
3002;3;2988;23;GHIRBOM;1;3;1;0;7;517111;1;40236;3005252;192;0
3011;3;2988;23;HENIG;1;3;1;0;7;517112;1;40236;3005795;193;0
3020;3;2988;23;STRAJA;1;3;1;0;7;517113;1;40236;3011566;194;0
3039;2;10;3;BISTRA;0;3;1;0;7;0;1;40266;;195;0
3048;3;3039;22;BISTRA;1;3;1;0;7;517115;1;40266;1001103;196;0
3057;3;3039;23;ARONESTI;1;3;1;0;7;517116;1;40266;3000323;197;0
3066;3;3039;23;BALESTI;1;3;1;0;7;517117;1;40266;3000587;198;0
3075;3;3039;23;BALESTI-CATUN;1;3;1;0;7;517118;1;40266;3000590;199;0
3084;3;3039;23;BARLESTI;1;3;1;0;7;517119;1;40266;3000779;200;0
3093;3;3039;23;CHELETENI;1;3;1;0;7;517121;1;40266;3002578;201;0
3100;3;3039;23;CIULDESTI;1;3;1;0;7;517122;1;40266;3002895;202;0
3119;3;3039;23;CRETESTI;1;3;1;0;7;517123;1;40266;3003552;203;0
3128;3;3039;23;DEALU MUNTELUI;1;3;1;0;7;517126;1;40266;3003952;205;0
3137;3;3039;23;DAMBURENI;1;3;1;0;7;517124;1;40266;3003828;204;0
3146;3;3039;23;DURASTI;1;3;1;0;7;517127;1;40266;3004485;206;0
3155;3;3039;23;GANESTI;1;3;1;0;7;517128;1;40266;3005040;207;0
3164;3;3039;23;GARDE;1;3;1;0;7;517129;1;40266;3005086;208;0
3173;3;3039;23;HODISESTI;1;3;1;0;7;517131;1;40266;3005853;209;0
3182;3;3039;23;HUDRICESTI;1;3;1;0;7;517132;1;40266;3005954;210;0
3191;3;3039;23;LIPAIA;1;3;1;0;7;517133;1;40266;3006652;211;0
3208;3;3039;23;LUNCA LARGA;1;3;1;0;7;517134;1;40266;3006845;212;0
3217;3;3039;23;LUNCA MERILOR;1;3;1;0;7;517136;1;40266;3006849;213;0
3226;3;3039;23;MIHAIESTI;1;3;1;0;7;517137;1;40266;3007471;214;0
3235;3;3039;23;NAMAS;1;3;1;0;7;517138;1;40266;3007883;215;0
3244;3;3039;23;NOVACESTI;1;3;1;0;7;517139;1;40266;3008094;216;0
3253;3;3039;23;PERJESTI;1;3;1;0;7;517141;1;40266;3008725;217;0
3262;3;3039;23;POIANA;1;3;1;0;7;517142;1;40266;3009187;218;0
3271;3;3039;23;POIU;1;3;1;0;7;517143;1;40266;3009317;219;0
3280;3;3039;23;RATITIS;1;3;1;0;7;517144;1;40266;3009865;220;0
3299;3;3039;23;RUNCURI;1;3;1;0;7;517146;1;40266;3010192;221;0
3306;3;3039;23;SALAGESTI;1;3;1;0;7;517147;1;40266;3010307;222;0
3315;3;3039;23;STEFANCA;1;3;1;0;7;517148;1;40266;3011460;223;0
3324;3;3039;23;TOLACESTI;1;3;1;0;7;517149;1;40266;3012196;225;0
3333;3;3039;23;TOMNATEC;1;3;1;0;7;517151;1;40266;3012209;226;0
3342;3;3039;23;TRISORESTI;1;3;1;0;7;517152;1;40266;3012322;227;0
3351;3;3039;23;TARANESTI;1;3;1;0;7;517153;1;40266;3011835;224;0
3360;3;3039;23;VARSI-RONTU;1;3;1;0;7;517154;1;40266;3013243;230;0
3379;3;3039;23;VARSII MARI;1;3;1;0;7;517156;1;40266;3013241;228;0
3388;3;3039;23;VARSII MICI;1;3;1;0;7;517157;1;40266;3013242;229;0
3397;2;10;3;BLANDIANA;0;3;1;0;7;0;1;40279;;231;0
3404;3;3397;22;BLANDIANA;1;3;1;0;7;517160;1;40279;1001146;232;0
3413;3;3397;23;ACMARIU;1;3;1;0;7;517161;1;40279;3000021;233;0
3422;3;3397;23;IBRU;1;3;1;0;7;517162;1;40279;3006052;234;0
3431;3;3397;23;POIENI;1;3;1;0;7;517163;1;40279;3009288;235;0
3440;3;3397;23;RACATAU;1;3;1;0;7;517164;1;40279;3009667;236;0
9026;2;10;3;BUCERDEA GRANOASA;;3;1;0;7;0;1;40399;;237;0
4204;3;9026;22;BUCERDEA GRANOASA;1;3;1;0;7;517261;1;40399;1001709;238;0
4213;3;9026;23;CORNU;1;3;1;0;7;517262;1;40399;3003282;239;0
4222;3;9026;23;PADURE;1;3;1;0;7;517263;1;40399;3008438;240;0
4231;3;9026;23;PANCA;1;3;1;0;7;517264;1;40399;3008535;241;0
3459;2;10;3;BUCIUM;0;3;1;0;7;0;1;40403;;242;0
3468;3;3459;22;BUCIUM;1;3;1;0;7;517165;1;40403;1001723;243;0
3477;3;3459;23;ANGHELESTI;1;3;1;0;7;517166;1;40403;3000214;244;0
3486;3;3459;23;BISERICANI;1;3;1;0;7;517167;1;40403;3001098;245;0
3495;3;3459;23;BUCIUM-SAT;1;3;1;0;7;517168;1;40403;3001736;246;0
3501;3;3459;23;CERBU;1;3;1;0;7;517169;1;40403;3002478;247;0
3510;3;3459;23;CIUCULESTI;1;3;1;0;7;517171;1;40403;3002883;248;0
3529;3;3459;23;COLESENI;1;3;1;0;7;517172;1;40403;3003071;249;0
3538;3;3459;23;DOGARESTI;1;3;1;0;7;517173;1;40403;3004165;250;0
3547;3;3459;23;FERESTI;1;3;1;0;7;517174;1;40403;3004698;251;0
3556;3;3459;23;FLORESTI;1;3;1;0;7;517176;1;40403;3004792;252;0
3565;3;3459;23;GURA IZBITEI;1;3;1;0;7;517177;1;40403;3005619;253;0
3574;3;3459;23;HELESTI;1;3;1;0;7;517178;1;40403;3005790;254;0
3583;3;3459;23;IZBICIOARA;1;3;1;0;7;517179;1;40403;3006267;255;0
3592;3;3459;23;IZBITA;1;3;1;0;7;517181;1;40403;3006268;256;0
3609;3;3459;23;JURCUIESTI;1;3;1;0;7;517182;1;40403;3006430;257;0
3618;3;3459;23;LUPULESTI;1;3;1;0;7;517183;1;40403;3006925;258;0
3627;3;3459;23;MAGURA;1;3;1;0;7;517184;1;40403;3006997;259;0
3636;3;3459;23;MUNTARI;1;3;1;0;7;517186;1;40403;3007808;260;0
3645;3;3459;23;PETRENI;1;3;1;0;7;517187;1;40403;3008782;261;0
3654;3;3459;23;POIANA;1;3;1;0;7;517188;1;40403;3009184;262;0
3663;3;3459;23;POIENI;1;3;1;0;7;517189;1;40403;3009278;263;0
3672;3;3459;23;STALNISOARA;1;3;1;0;7;517191;1;40403;3011379;264;0
3681;3;3459;23;VALEA ABRUZEL;1;3;1;0;7;517192;1;40403;3012724;266;0
3690;3;3459;23;VALEA ALBA;1;3;1;0;7;517193;1;40403;3012727;267;0
3707;3;3459;23;VALEA CERBULUI;1;3;1;0;7;517194;1;40403;3012779;268;0
3716;3;3459;23;VALEA NEGRILESII;1;3;1;0;7;517196;1;40403;3012960;269;0
3725;3;3459;23;VALEA POIENII;1;3;1;0;7;517197;1;40403;3012986;270;0
3734;3;3459;23;VALEA SESII;1;3;1;0;7;517198;1;40403;3013046;271;0
3743;3;3459;23;VALENI;1;3;1;0;7;517199;1;40403;3013113;272;0
3752;3;3459;23;VALCEA;1;3;1;0;7;517201;1;40403;3012685;265;0
4106;2;10;3;CALNIC;0;3;1;0;7;0;1;40475;;273;0
4115;3;4106;22;CALNIC;1;3;1;0;7;517205;1;40475;1002098;274;0
4133;3;4106;23;DEAL;1;3;1;0;7;517207;1;40475;3003904;275;0
3761;2;10;3;CENADE;0;3;1;0;7;0;1;40546;;276;0
3770;3;3761;22;CENADE;1;3;1;0;7;517210;1;40546;1002455;277;0
3789;3;3761;23;CAPU DEALULUI;1;3;1;0;7;517211;1;40546;3002227;278;0
3798;3;3761;23;GORGAN;1;3;1;0;7;517212;1;40546;3005422;279;0
3805;2;10;3;CERGAU;0;3;1;0;7;0;1;40555;;280;0
3814;3;3805;22;CERGAU MARE;1;3;1;0;7;517216;1;40555;1002490;281;0
3823;3;3805;23;CERGAU MIC;1;3;1;0;7;517217;1;40555;3002491;282;0
3832;3;3805;23;LUPU;1;3;1;0;7;517218;1;40555;3006922;283;0
3841;2;10;3;CERU-BACAINTI;0;3;1;0;7;0;1;40567;;284;0
3850;3;3841;22;CERU-BACAINTI;1;3;1;0;7;517220;1;40567;1002532;285;0
3869;3;3841;23;BOLOVANESTI;1;3;1;0;7;517221;1;40567;3001340;286;0
3878;3;3841;23;BULBUC;1;3;1;0;7;517222;1;40567;3001860;287;0
3887;3;3841;23;CUCUTA;1;3;1;0;7;517223;1;40567;3003675;288;0
3896;3;3841;23;CURPENI;1;3;1;0;7;517224;1;40567;3003735;289;0
3903;3;3841;23;DUMBRAVITA;1;3;1;0;7;517226;1;40567;3004438;290;0
3912;3;3841;23;FANTANELE;1;3;1;0;7;517227;1;40567;3004615;291;0
3921;3;3841;23;GROSI;1;3;1;0;7;517228;1;40567;3005550;292;0
3930;3;3841;23;VALEA MARE;1;3;1;0;7;517229;1;40567;3012910;293;0
3949;3;3841;23;VIEZURI;1;3;1;0;7;517231;1;40567;3013366;294;0
3958;2;10;3;CETATEA DE BALTA;0;3;1;0;7;0;1;40572;;295;0
3967;3;3958;22;CETATEA DE BALTA;1;3;1;0;7;517235;1;40572;1002544;296;0
3976;3;3958;23;CRACIUNELU DE SUS;1;3;1;0;7;517236;1;40572;3003487;297;0
3985;3;3958;23;SANTAMARIE;1;3;1;0;7;517237;1;40572;3010489;298;0
3994;3;3958;23;TATARLAUA;1;3;1;0;7;517238;1;40572;3011931;299;0
1071;2;10;3;CIUGUD;0;3;1;0;7;0;1;40638;;300;0
1080;3;1071;22;CIUGUD;1;3;1;0;7;517240;1;40638;1002887;301;0
1099;3;1071;23;DRAMBAR;1;3;1;0;7;517241;1;40638;3004330;302;0
1115;3;1071;23;HAPRIA;1;3;1;0;7;517243;1;40638;3005737;303;0
1106;3;1071;23;LIMBA;1;3;1;0;7;2516;1;40638;3006638;304;0
1124;3;1071;23;SEUSA;1;3;1;0;7;517244;1;40638;3010957;305;0
1133;3;1071;23;TELEAC;1;3;1;0;7;517246;1;40638;3012007;306;0
4008;2;10;3;CIURULEASA;0;3;1;0;7;0;1;40648;;307;0
4017;3;4008;22;CIURULEASA;1;3;1;0;7;517250;1;40648;1002940;308;0
4026;3;4008;23;BIDIGESTI;1;3;1;0;7;517251;1;40648;3001071;309;0
4035;3;4008;23;BODRESTI;1;3;1;0;7;517252;1;40648;3001233;310;0
4044;3;4008;23;BOGLESTI;1;3;1;0;7;517253;1;40648;3001281;311;0
4053;3;4008;23;BUNINGINEA;1;3;1;0;7;517254;1;40648;3001899;312;0
4062;3;4008;23;GHEDULESTI;1;3;1;0;7;517256;1;40648;3005162;313;0
4071;3;4008;23;MATISESTI;1;3;1;0;7;517257;1;40648;3007311;314;0
4080;3;4008;23;MORARESTI;1;3;1;0;7;517258;1;40648;3007696;315;0
4099;3;4008;23;VULCAN;1;3;1;0;7;517259;1;40648;3013581;316;0
4188;2;10;3;CRACIUNELU DE JOS;0;3;1;0;7;0;1;40761;;317;0
4197;3;4188;22;CRACIUNELU DE JOS;1;3;1;0;7;517260;1;40761;1003486;318;0
