SIRUTA;NIV;SIRSUP;TIP;DENLOC;ULT;MED;JUD;PREFIX;REGIUNE;CODP;FSJ;FS2;FS3;FSL;FICTIV
10;1;1;40;JUDETUL ALBA;0;0;1;0;7;0;1;;;1;0
1017;2;10;1;MUNICIPIUL ALBA IULIA;0;1;1;0;7;0;1;11667;;2;0
1026;3;1017;9;ALBA IULIA;1;1;1;0;7;0;1;11667;1000084;3;0
1035;3;1017;10;BARABANT;1;1;1;0;7;510001;1;11667;2000704;4;0
1044;3;1017;10;MICESTI;1;1;1;0;7;510002;1;11667;2007419;5;0
1053;3;1017;10;OARDA;1;1;1;0;7;510003;1;11667;2008121;6;0
1062;3;1017;10;PACLISA;1;1;1;0;7;510004;1;11667;2008424;7;0
1213;2;10;4;MUNICIPIUL AIUD;0;1;1;0;7;0;1;21666;;8;0
1222;3;1213;9;AIUD;1;1;1;0;7;515200;1;21666;1000079;9;0
1231;3;1213;10;AIUDUL DE SUS;1;1;1;0;7;515201;1;21666;2000080;10;0
1277;3;1213;11;CIUMBRUD;1;1;1;0;7;515202;1;21666;3002908;14;0
1240;3;1213;10;GAMBAS;1;1;1;0;7;515203;1;21666;2005032;11;0
1286;3;1213;11;GARBOVA DE JOS;1;1;1;0;7;515204;1;21666;3005067;15;0
1295;3;1213;11;GARBOVA DE SUS;1;1;1;0;7;515205;1;21666;3005068;16;0
1302;3;1213;11;GARBOVITA;1;1;1;0;7;515206;1;21666;3005074;17;0
1259;3;1213;10;MAGINA;1;1;1;0;7;515207;1;21666;2006980;12;0
1268;3;1213;10;PAGIDA;1;1;1;0;7;515208;1;21666;2008482;13;0
1311;3;1213;11;SANCRAI;1;1;1;0;7;515209;1;21666;3010410;18;0
1320;3;1213;11;TIFRA;1;1;1;0;7;515210;1;21666;3012089;19;0
1348;2;10;4;MUNICIPIUL BLAJ;0;1;1;0;7;0;1;21676;;20;0
1357;3;1348;9;BLAJ;1;1;1;0;7;515400;1;21676;1001134;21;0
1366;3;1348;10;DELENI-OBARSIE;1;1;1;0;7;515401;1;21676;2004016;22;0
1375;3;1348;10;FLITESTI;1;1;1;0;7;515402;1;21676;2004781;23;0
1384;3;1348;10;IZVOARELE;1;1;1;0;7;515403;1;21676;2006283;24;0
1428;3;1348;11;MANARADE;1;1;1;0;7;515404;1;21676;3007105;28;0
1393;3;1348;10;PETRISAT;1;1;1;0;7;515405;1;21676;2008813;25;0
1437;3;1348;11;SPATAC;1;1;1;0;7;515406;1;21676;3011351;29;0
1400;3;1348;10;TIUR;1;1;1;0;7;515407;1;21676;2012166;26;0
1419;3;1348;10;VEZA;1;1;1;0;7;515408;1;21676;2013337;27;0
1874;2;10;4;MUNICIPIUL SEBES;0;1;1;0;7;0;1;21744;;30;0
1883;3;1874;9;SEBES;1;1;1;0;7;515800;1;21744;1010838;31;0
1892;3;1874;10;LANCRAM;1;1;1;0;7;515801;1;21744;2006469;32;0
1909;3;1874;10;PETRESTI;1;1;1;0;7;515850;1;21744;2008789;33;0
1918;3;1874;11;RAHAU;1;1;1;0;7;515802;1;21744;3009777;34;0
1151;2;10;2;ORAS ABRUD;0;1;1;0;7;0;1;31863;;35;0
1160;3;1151;17;ABRUD;1;1;1;0;7;515100;1;31863;1000009;36;0
1179;3;1151;18;ABRUD-SAT;1;1;1;0;7;515101;1;31863;2000011;37;0
1188;3;1151;18;GURA CORNEI;1;1;1;0;7;515102;1;31863;2005604;38;0
1197;3;1151;18;SOHARU;1;1;1;0;7;515103;1;31863;2011263;39;0
2915;2;10;2;ORAS BAIA DE ARIES;0;1;1;0;7;0;1;31876;;40;0
2924;3;2915;17;BAIA DE ARIES;1;1;1;0;7;515300;1;31876;1000487;41;0
2933;3;2915;19;BRAZESTI;1;1;1;0;7;515301;1;31876;3001615;42;0
2942;3;2915;19;CIOARA DE SUS;1;1;1;0;7;515302;1;31876;3002757;43;0
2951;3;2915;19;MUNCELU;1;1;1;0;7;515303;1;31876;3007801;44;0
2960;3;2915;19;SARTAS;1;1;1;0;7;515304;1;31876;3010599;45;0
2979;3;2915;19;SIMULESTI;1;1;1;0;7;515305;1;31876;3011070;46;0
1455;2;10;2;ORAS CAMPENI;0;1;1;0;7;0;1;31911;;47;0
1464;3;1455;17;CAMPENI;1;1;1;0;7;515500;1;31911;1002147;48;0
1473;3;1455;18;BONCESTI;1;1;1;0;7;515501;1;31911;2001344;49;0
1482;3;1455;18;BORLESTI;1;1;1;0;7;515502;1;31911;2001379;50;0
1491;3;1455;18;BOTESTI;1;1;1;0;7;515503;1;31911;2001446;51;0
1507;3;1455;18;CERTEGE;1;1;1;0;7;515504;1;31911;2002526;52;0
1516;3;1455;18;COASTA VASCULUI;1;1;1;0;7;515505;1;31911;2002998;53;0
1525;3;1455;18;DANDUT;1;1;1;0;7;515506;1;31911;2003847;54;0
1534;3;1455;18;DEALU BISTRII;1;1;1;0;7;515507;1;31911;2003915;55;0
1543;3;1455;18;DEALU CAPSEI;1;1;1;0;7;515508;1;31911;2003918;56;0
1552;3;1455;18;DRIC;1;1;1;0;7;515509;1;31911;2004343;57;0
1561;3;1455;18;FATA ABRUDULUI;1;1;1;0;7;515510;1;31911;2004648;58;0
1570;3;1455;18;FLORESTI;1;1;1;0;7;515511;1;31911;2004798;59;0
1589;3;1455;18;FURDUIESTI;1;1;1;0;7;515512;1;31911;2004950;60;0
1598;3;1455;18;MIHOESTI;1;1;1;0;7;515513;1;31911;2007497;61;0
1605;3;1455;18;MOTORASTI;1;1;1;0;7;515514;1;31911;2007753;62;0
